,year,ISO_code,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_freedom,pf_religion_repression,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_entry,pf_association_assembly,pf_association_barries,pf_association_bans,pf_association_estopparties,pf_association_opposition,pf_association_civilrepression,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_media,pf_expression_cable,pf_expression_newspapers,pf_expression_control,pf_expression,pf_identity_legal,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,womens_freedom
1118,2011,MAR,Morocco,Middle East & North Africa,6.25,116.0,4.0,2.9,5.4,3.5,4.0,9.5,5.0,10.0,5.0,9.8,9.9,7.9,10.0,0.0,5.0,7.5,5.0,10.0,10.0,8.3,1.4,3.3,9.7,7.6,5.5,6.3,7.5,6.7,7.6,7.2,6.1,5.8,6.5,10.0,9.4,2.7,10.0,7.5,7.5,7.8,,0.0,0.0,0.0,5.0,2.5,5.94,124.0,6.0,7.28,9.5,5.0,5.0,5.0,6.9,6.9,4.4,4.5,5.3,6.7,7.2,5.2,6.6,5.6,0.8,5.2,9.7,9.2,9.8,0.0,7.2,8.6,7.1,1.6,5.8,5.9,8.2,7.1,10.0,1.7,0.8,7.2,3.2,6.5,8.0,8.5,8.0,8.2,1.1,4.9,6.9,8.0,5.3,10.0,6.0,4.1,6.1,9.5,4.7,8.9,7.3,6.8,7.0,6.55,100.0,5.0
1119,2010,MAR,Morocco,Middle East & North Africa,6.31,115.0,4.0,2.9,5.4,3.5,4.0,9.4,10.0,10.0,5.0,10.0,10.0,9.0,10.0,5.0,7.5,8.6,5.0,10.0,10.0,8.3,1.1,3.2,9.7,8.2,5.5,5.7,5.0,6.5,7.6,7.1,5.9,5.7,5.9,10.0,10.0,2.7,10.0,6.7,6.7,7.7,,0.0,0.0,0.0,5.0,2.5,6.15,122.0,4.9,8.13,10.0,5.0,5.0,5.0,6.9,7.0,4.4,4.6,5.2,6.7,7.2,5.2,7.0,5.3,0.8,5.2,9.3,9.2,9.8,0.0,7.1,8.4,6.4,1.8,5.5,5.5,8.2,6.9,10.0,1.7,0.8,7.2,3.2,6.4,5.0,9.2,8.0,7.4,1.1,5.1,6.7,8.0,5.3,10.0,6.0,3.9,6.1,9.4,4.1,8.9,7.3,6.6,6.7,6.46,101.0,6.5
1120,2009,MAR,Morocco,Middle East & North Africa,6.29,109.0,4.0,2.9,5.4,3.5,4.0,9.5,10.0,10.0,5.0,10.0,10.0,9.0,10.0,5.0,7.5,8.7,5.0,10.0,10.0,8.3,1.1,3.2,9.8,7.4,5.4,5.9,5.0,6.5,7.7,7.1,5.9,5.7,5.9,10.0,9.7,6.0,10.0,6.7,6.7,8.2,,0.0,0.0,0.0,5.0,2.5,6.19,116.0,4.7,8.63,10.0,4.0,,4.0,7.1,6.9,4.4,4.5,5.2,6.7,7.1,5.0,7.5,5.5,0.8,5.2,9.0,9.3,9.8,0.0,7.0,8.0,6.4,1.8,5.4,5.2,7.9,6.6,10.0,1.7,0.0,7.2,2.9,6.2,5.0,10.0,9.0,8.0,1.1,4.9,6.8,8.0,2.9,10.0,5.6,4.0,5.3,9.4,4.1,7.8,6.0,6.1,6.6,6.39,95.0,6.5
1121,2008,MAR,Morocco,Middle East & North Africa,6.19,111.0,4.0,2.9,5.4,3.5,4.0,9.5,10.0,10.0,5.0,10.0,10.0,9.0,10.0,5.0,7.5,8.7,5.0,10.0,10.0,8.3,1.1,3.2,9.7,6.8,5.2,5.9,5.0,6.5,6.9,6.7,5.9,5.7,5.8,10.0,10.0,3.1,10.0,6.7,6.7,7.7,,0.0,0.0,0.0,5.0,2.5,6.13,115.0,5.2,7.71,10.0,4.0,,4.0,7.1,6.8,4.4,4.5,5.3,6.7,7.07,5.0,7.5,5.9,0.8,5.1,8.6,9.1,9.3,0.0,6.7,8.4,5.7,1.7,5.3,5.2,7.9,6.5,10.0,1.7,0.0,7.2,2.9,6.2,5.0,10.0,9.0,8.0,1.1,4.9,6.8,6.0,2.1,10.0,5.2,4.0,5.3,9.4,4.1,7.8,6.0,6.1,6.4,6.25,101.0,6.5
1122,2018,MOZ,Mozambique,Sub-Saharan Africa,6.64,101.0,3.0,2.5,4.6,3.3,3.5,8.6,10.0,9.4,5.0,8.5,9.7,8.5,10.0,7.5,8.8,8.6,10.0,10.0,10.0,10.0,8.5,8.2,9.3,9.4,8.8,8.6,2.5,7.5,6.8,7.1,7.8,5.7,6.3,10.0,10.0,5.0,7.5,7.5,7.5,7.9,10.0,10.0,10.0,10.0,10.0,10.0,7.34,67.0,4.4,9.5,2.4,7.0,5.0,6.0,5.1,5.5,3.8,3.4,4.1,6.7,5.5,1.8,7.5,2.9,1.0,4.4,7.7,8.0,9.2,5.0,7.5,9.1,7.9,7.0,8.0,4.1,7.4,5.7,10.0,1.7,0.0,0.9,0.8,6.2,10.0,10.0,9.0,9.7,3.3,3.6,5.4,6.0,0.0,0.0,3.1,3.3,2.7,8.3,4.8,9.0,7.8,6.0,6.2,5.94,134.0,9.26
1123,2017,MOZ,Mozambique,Sub-Saharan Africa,6.52,106.0,3.0,2.6,4.6,3.4,3.6,8.6,10.0,10.0,5.0,9.8,9.9,8.9,10.0,7.5,8.8,8.8,10.0,10.0,10.0,10.0,8.5,8.3,9.3,9.4,8.9,8.6,2.5,7.7,7.0,7.4,7.7,5.6,6.3,10.0,10.0,5.0,7.5,7.5,7.5,7.9,10.0,10.0,10.0,10.0,10.0,10.0,7.4,67.0,3.8,9.5,2.4,7.0,5.0,6.0,5.8,5.5,4.2,3.6,4.2,6.7,5.7,1.8,7.5,3.0,1.0,4.5,7.7,8.1,7.0,5.0,6.9,9.1,8.0,7.1,8.1,4.4,7.4,5.9,10.0,1.7,0.0,0.9,0.8,6.2,10.0,0.0,9.0,6.3,3.3,3.8,5.3,6.0,0.0,0.0,3.1,3.5,2.4,8.2,4.8,9.0,7.8,5.9,5.1,5.64,145.0,9.26
1124,2016,MOZ,Mozambique,Sub-Saharan Africa,6.27,116.0,3.0,,,,3.5,8.6,5.0,9.7,5.0,9.3,9.4,7.7,10.0,5.0,7.5,7.9,10.0,10.0,5.0,8.3,7.9,8.5,9.3,9.4,8.8,7.4,2.5,7.9,8.1,8.0,7.6,5.4,6.2,10.0,10.0,5.4,7.5,7.5,7.5,8.0,10.0,10.0,10.0,10.0,10.0,10.0,6.99,81.0,3.4,9.4,0.6,7.0,5.0,6.0,5.9,5.0,4.0,3.5,4.3,6.7,5.5,0.0,7.6,3.0,0.9,4.2,7.4,8.5,8.0,5.0,7.2,8.9,8.0,7.1,8.0,4.5,6.5,5.5,10.0,1.7,0.0,0.9,0.8,6.1,10.0,0.0,9.0,6.3,3.3,4.0,5.5,6.0,0.0,0.0,3.1,3.6,2.4,9.2,4.6,9.0,7.8,6.1,5.2,5.55,148.0,7.5
1125,2015,MOZ,Mozambique,Sub-Saharan Africa,6.36,112.0,3.0,,,,3.8,8.6,10.0,10.0,5.0,9.9,10.0,9.0,10.0,5.0,7.5,8.4,10.0,10.0,5.0,8.3,7.9,8.1,10.0,9.3,8.8,8.4,2.5,7.9,8.2,8.1,8.0,5.5,6.5,10.0,10.0,5.6,7.5,7.5,7.5,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.22,71.0,3.4,9.0,2.1,7.0,5.0,6.0,6.8,5.5,4.0,3.8,4.2,6.7,5.5,0.0,7.5,2.9,0.9,4.2,7.5,8.7,9.3,0.0,6.4,8.6,8.0,7.1,7.9,4.8,6.2,5.5,10.0,1.7,0.0,0.9,0.8,6.1,10.0,0.0,10.0,6.7,3.3,4.2,5.5,6.0,0.0,0.0,3.2,3.7,2.7,9.2,4.7,9.1,7.8,6.2,5.3,5.49,145.0,7.5
1126,2014,MOZ,Mozambique,Sub-Saharan Africa,6.22,123.0,4.0,,,,3.9,8.6,10.0,10.0,5.0,9.7,9.6,8.9,10.0,5.0,7.5,8.3,0.0,10.0,5.0,5.0,8.3,8.1,9.4,7.7,8.4,8.4,2.5,7.9,7.3,7.6,8.0,5.5,6.4,10.0,10.0,5.9,7.5,7.5,7.5,8.1,,10.0,10.0,10.0,10.0,10.0,6.84,89.0,3.8,9.0,2.2,7.0,5.0,6.0,6.6,5.5,3.9,3.9,4.1,6.7,5.6,0.0,7.5,3.1,0.9,4.2,8.3,8.2,9.5,0.0,6.5,8.7,8.0,7.1,7.9,5.1,6.2,5.6,10.0,1.7,0.0,0.9,0.8,6.1,10.0,3.2,10.0,7.7,3.3,4.0,5.2,6.0,0.0,0.0,3.1,4.0,2.7,9.2,4.3,9.1,7.6,6.1,5.7,5.6,143.0,7.5
1127,2013,MOZ,Mozambique,Sub-Saharan Africa,6.13,124.0,4.0,,,,4.0,8.6,10.0,9.7,2.5,9.5,9.4,8.2,10.0,5.0,7.5,8.1,0.0,10.0,5.0,5.0,8.3,8.1,9.6,7.5,8.4,8.4,10.0,7.9,7.3,7.6,8.0,5.5,7.9,10.0,10.0,5.7,10.0,10.0,10.0,9.3,,0.0,0.0,0.0,10.0,5.0,6.58,102.0,4.5,9.0,3.5,7.0,5.0,6.0,6.6,5.9,3.8,3.9,4.0,6.7,5.6,0.0,7.0,3.1,0.9,4.1,8.5,8.1,9.1,0.0,6.4,8.8,8.0,7.1,7.9,5.8,6.8,6.3,10.0,1.7,0.0,0.9,0.8,6.3,10.0,3.2,10.0,7.7,3.3,4.1,4.8,6.0,0.0,0.0,3.0,4.2,2.7,9.4,4.3,8.6,7.4,6.1,5.6,5.68,139.0,5.5
1128,2012,MOZ,Mozambique,Sub-Saharan Africa,6.13,120.0,4.0,,,,4.3,8.6,10.0,10.0,5.0,10.0,10.0,9.0,10.0,0.0,5.0,7.5,0.0,10.0,5.0,5.0,8.3,8.3,9.5,7.1,8.3,8.4,10.0,8.2,7.5,7.8,7.0,5.6,7.8,10.0,10.0,6.1,10.0,10.0,10.0,9.3,,0.0,0.0,0.0,10.0,5.0,6.51,103.0,5.3,9.0,4.0,7.0,5.0,6.0,4.9,5.8,3.8,4.0,4.4,6.7,5.3,0.0,6.7,3.6,1.0,4.2,7.6,8.3,9.6,0.0,6.4,8.9,8.0,7.1,8.0,5.3,6.8,6.1,10.0,1.7,0.0,0.9,0.8,6.2,10.0,7.9,10.0,9.3,3.3,4.3,4.8,6.0,0.0,0.0,3.1,4.1,2.7,9.4,3.7,8.3,7.4,5.9,6.1,5.75,133.0,4.0
1129,2011,MOZ,Mozambique,Sub-Saharan Africa,6.07,123.0,4.0,,,,4.7,8.6,10.0,10.0,7.5,10.0,10.0,9.5,10.0,0.0,5.0,7.7,10.0,0.0,5.0,5.0,8.3,8.3,9.3,6.4,8.1,8.4,10.0,8.2,7.5,7.8,7.0,5.6,7.8,10.0,10.0,6.0,10.0,10.0,10.0,9.3,,0.0,0.0,0.0,10.0,5.0,6.62,99.0,5.8,9.1,0.0,7.0,5.0,6.0,4.9,5.2,3.8,4.1,4.4,6.7,5.3,0.0,6.6,4.0,1.0,4.3,8.1,8.5,7.9,0.0,6.1,8.9,8.0,7.1,8.0,4.6,6.5,5.5,10.0,1.7,0.0,0.9,0.8,6.1,10.0,7.2,10.0,9.1,3.3,4.2,4.8,6.0,0.0,0.0,3.1,4.0,4.2,9.4,3.7,4.8,7.4,5.6,5.9,5.51,139.0,4.0
1130,2010,MOZ,Mozambique,Sub-Saharan Africa,6.01,127.0,4.0,,,,4.9,8.6,10.0,10.0,5.0,10.0,10.0,9.0,10.0,0.0,5.0,7.5,10.0,0.0,5.0,5.0,8.3,8.3,9.3,7.4,8.3,8.4,7.5,8.2,7.5,7.9,7.0,5.6,7.3,10.0,10.0,5.7,10.0,10.0,10.0,9.3,,0.0,0.0,0.0,10.0,5.0,6.58,103.0,5.8,9.0,0.0,7.0,5.0,6.0,4.9,5.1,3.9,4.1,4.4,6.7,5.3,0.0,6.3,4.3,1.0,4.3,7.4,8.6,7.5,0.0,5.9,8.9,8.0,7.1,8.0,4.8,6.5,5.7,10.0,1.7,0.0,0.9,0.8,6.1,10.0,6.8,10.0,8.9,1.7,3.9,5.0,6.0,0.0,0.0,2.8,4.3,4.2,9.5,3.7,4.8,7.4,5.7,5.8,5.44,143.0,4.0
1131,2009,MOZ,Mozambique,Sub-Saharan Africa,6.03,118.0,4.0,,,,4.7,8.6,10.0,10.0,5.0,10.0,10.0,9.0,10.0,0.0,5.0,7.5,10.0,0.0,5.0,5.0,8.3,8.3,9.0,7.5,8.3,8.4,7.5,8.3,8.4,8.3,7.1,5.6,7.4,10.0,10.0,0.3,10.0,10.0,10.0,8.4,,0.0,0.0,0.0,10.0,5.0,6.46,106.0,7.7,,0.0,7.0,6.0,6.5,7.9,5.5,4.0,4.2,4.3,6.7,5.3,0.0,6.0,4.5,1.0,4.3,7.6,9.2,9.3,0.0,6.5,,7.9,7.1,7.5,4.8,6.4,5.6,10.0,1.7,0.0,0.9,0.8,6.0,,6.9,10.0,8.5,3.3,3.8,5.2,6.0,0.0,0.0,3.1,4.0,3.0,9.4,3.7,4.0,7.4,5.3,5.6,5.59,129.0,4.0
1132,2008,MOZ,Mozambique,Sub-Saharan Africa,6.17,113.0,4.0,,,,4.7,8.3,10.0,10.0,5.0,10.0,10.0,9.0,10.0,0.0,5.0,7.4,10.0,0.0,5.0,5.0,8.3,8.3,8.8,8.1,8.4,8.4,7.5,8.3,8.4,8.3,7.1,5.6,7.4,10.0,10.0,6.1,10.0,10.0,10.0,9.4,,0.0,0.0,0.0,10.0,5.0,6.53,103.0,8.0,,0.0,7.0,6.0,6.5,7.9,5.6,4.0,4.2,4.2,6.7,5.3,0.0,5.5,3.7,1.0,4.2,8.1,9.5,7.9,5.0,7.6,,8.0,7.1,7.5,5.1,6.4,5.7,10.0,1.7,0.0,0.9,0.8,6.0,,6.7,10.0,8.4,3.3,4.0,5.2,6.7,0.0,0.0,3.2,3.6,3.0,9.0,4.0,3.9,7.4,5.1,5.6,5.8,124.0,4.0
1133,2018,MMR,Myanmar,South Asia,5.45,146.0,4.0,1.7,3.7,2.7,2.7,9.1,5.0,9.4,2.5,9.8,9.7,7.3,10.0,7.5,8.8,8.4,0.0,0.0,2.5,0.8,4.1,4.1,6.9,4.7,4.9,5.5,7.5,6.2,6.5,6.3,5.4,6.0,6.1,10.0,9.6,2.5,10.0,10.0,10.0,8.7,0.0,0.0,10.0,5.0,2.5,2.5,5.08,150.0,5.4,9.9,8.7,9.0,9.0,9.0,4.5,7.5,3.5,3.8,3.7,2.5,5.4,1.9,7.4,3.1,0.9,3.7,9.1,9.2,8.6,0.0,6.7,9.2,8.7,7.3,8.4,,0.9,0.9,10.0,0.0,0.8,0.0,0.3,4.9,0.0,8.0,10.0,6.0,8.9,,,8.0,4.0,0.0,5.2,,6.0,9.6,5.1,9.5,6.8,7.4,6.2,5.81,142.0,7.76
1134,2017,MMR,Myanmar,South Asia,5.43,146.0,4.0,1.7,3.6,2.9,3.0,9.1,5.0,6.9,5.0,8.6,9.9,7.1,10.0,7.5,8.8,8.3,0.0,0.0,2.5,0.8,3.2,3.8,6.9,4.7,4.6,5.1,7.5,6.6,6.3,6.5,6.0,5.3,6.1,9.4,9.4,5.0,10.0,10.0,10.0,9.0,0.0,0.0,10.0,5.0,2.5,2.5,5.12,149.0,4.3,9.9,8.7,9.0,9.0,9.0,4.3,7.2,3.4,3.9,3.9,2.6,5.5,1.9,7.0,3.1,0.9,3.7,8.5,9.5,9.1,0.0,6.8,9.2,8.7,7.3,8.4,,0.9,0.9,10.0,0.0,0.8,0.0,0.3,4.9,0.0,8.0,10.0,6.0,7.8,,,8.0,4.0,0.0,4.9,,5.3,9.3,5.6,9.4,6.8,7.3,6.1,5.74,143.0,7.76
1135,2016,MMR,Myanmar,South Asia,5.55,144.0,4.0,2.4,3.7,2.9,3.0,9.1,5.0,9.3,5.0,9.5,9.8,7.7,10.0,2.5,6.3,7.7,0.0,5.0,5.0,3.3,3.8,4.0,6.9,4.7,4.8,5.3,7.5,6.6,6.3,6.4,6.5,5.7,6.3,9.4,9.6,2.5,10.0,10.0,10.0,8.6,0.0,0.0,10.0,5.0,7.5,4.2,5.39,140.0,3.8,9.94,8.5,9.0,9.0,9.0,3.6,7.0,3.3,3.5,3.8,2.6,5.2,1.9,7.0,3.1,0.9,3.7,7.8,9.5,8.6,0.0,6.5,8.91,8.9,7.3,8.4,5.0,0.9,2.9,10.0,0.0,0.8,0.0,0.3,5.4,0.0,7.7,10.0,5.9,8.9,5.2,7.4,8.0,4.0,0.0,5.6,3.2,4.9,9.1,5.6,9.4,6.8,6.5,6.0,5.7,145.0,6.76
1136,2015,MMR,Myanmar,South Asia,5.43,143.0,4.0,2.4,3.7,2.9,3.2,9.1,5.0,6.0,5.0,9.6,9.4,7.0,10.0,2.5,6.3,7.5,0.0,0.0,5.0,1.7,3.8,4.2,7.5,6.7,5.6,5.3,7.5,6.6,6.3,6.5,7.7,5.3,6.5,10.0,9.0,2.7,10.0,10.0,10.0,8.6,0.0,0.0,10.0,5.0,7.5,4.2,5.32,141.0,2.9,9.93,7.6,9.0,9.0,9.0,4.0,6.7,3.2,3.3,3.8,2.5,5.1,1.9,6.7,3.1,0.9,3.6,7.8,9.6,7.8,0.0,6.3,9.09,8.9,7.3,8.4,5.0,0.9,2.9,10.0,0.0,0.8,0.0,0.3,5.4,0.0,7.7,10.0,5.9,8.9,5.2,7.4,8.0,4.0,0.0,5.6,3.2,1.3,9.2,5.1,9.4,6.8,5.8,5.8,5.54,144.0,6.76
1137,2014,MMR,Myanmar,South Asia,5.64,141.0,4.0,2.3,4.2,3.2,3.1,9.1,5.0,8.8,2.5,9.9,9.8,7.2,10.0,2.5,6.3,7.5,0.0,0.0,5.0,1.7,3.6,4.0,8.9,9.4,6.5,5.3,7.5,6.6,6.5,6.5,7.4,5.1,6.4,9.4,8.1,2.8,10.0,10.0,10.0,8.4,,0.0,10.0,5.0,7.5,6.3,5.56,137.0,2.4,10.0,9.7,9.0,9.0,9.0,3.9,7.0,2.9,3.2,3.8,2.5,4.7,1.9,6.7,3.1,0.9,3.5,8.1,9.5,8.9,0.0,6.6,8.8,8.9,7.3,8.3,5.0,2.5,3.7,10.0,0.0,0.0,0.0,0.0,5.5,0.0,7.7,10.0,5.9,10.0,5.2,7.4,8.0,6.3,0.0,6.1,3.2,1.3,8.6,4.3,9.4,7.9,5.8,5.9,5.71,141.0,6.76
1138,2013,MMR,Myanmar,South Asia,5.4,143.0,4.0,2.5,3.7,3.0,3.1,9.0,0.0,8.2,2.5,10.0,9.9,6.1,10.0,2.5,6.3,7.1,0.0,0.0,5.0,1.7,3.3,4.0,9.2,9.4,6.5,5.0,0.0,6.6,6.5,6.5,7.4,5.1,4.8,10.0,10.0,3.3,7.5,7.5,5.0,7.2,,0.0,10.0,5.0,7.5,6.3,5.2,146.0,3.6,10.0,6.7,8.0,8.0,8.0,3.9,6.4,2.8,3.1,3.6,2.5,4.7,1.9,5.5,3.1,0.9,3.3,7.6,9.4,8.9,0.0,6.5,8.9,8.9,7.3,8.4,5.0,7.1,6.0,10.0,0.0,0.0,0.0,0.0,6.1,0.0,7.4,10.0,5.8,10.0,5.2,7.4,10.0,6.3,0.0,6.5,3.2,1.3,2.7,4.1,8.8,8.3,4.7,5.7,5.59,142.0,6.76
1139,2012,MMR,Myanmar,South Asia,5.33,143.0,4.0,2.1,3.9,3.2,3.1,8.9,0.0,5.4,2.5,10.0,10.0,5.6,10.0,7.5,8.8,7.7,0.0,0.0,5.0,1.7,3.5,3.9,9.4,10.0,6.7,5.5,0.0,5.9,5.5,5.7,6.0,4.8,4.4,10.0,10.0,3.2,7.5,7.5,5.0,7.2,,0.0,10.0,5.0,7.5,6.3,5.33,142.0,4.7,10.0,6.2,8.0,5.0,6.5,3.5,6.2,2.9,3.0,3.5,2.5,4.7,1.9,5.5,3.3,0.9,3.3,7.6,8.5,9.7,0.0,6.5,7.9,8.9,7.3,8.0,4.9,6.4,5.7,10.0,0.0,0.0,0.0,0.0,5.9,0.0,5.9,10.0,5.3,0.0,5.4,7.6,10.0,6.3,0.0,4.9,2.8,1.3,2.5,3.5,7.3,8.3,4.3,4.8,5.33,142.0,8.26
1140,2011,MMR,Myanmar,South Asia,4.8,152.0,4.0,,,,3.5,9.2,5.0,5.3,2.5,10.0,10.0,6.6,10.0,7.5,8.8,8.2,0.0,0.0,5.0,1.7,3.9,3.6,9.1,10.0,6.6,5.1,0.0,5.6,4.8,5.2,6.0,3.6,4.0,10.0,7.6,1.5,7.5,7.5,5.0,6.5,,0.0,10.0,5.0,7.5,6.3,5.42,138.0,6.2,,7.9,5.0,5.0,5.0,3.5,5.6,2.8,2.9,3.4,1.7,4.5,1.9,5.5,3.3,0.9,3.1,7.9,6.8,9.0,0.0,5.9,0.0,8.9,7.2,5.3,,,,0.0,0.0,0.0,0.0,0.0,1.8,0.0,6.0,10.0,5.3,,,,,,0.0,,,3.3,,3.8,,,,4.4,4.18,152.0,8.26
1141,2010,MMR,Myanmar,South Asia,4.74,153.0,4.0,,,,3.4,9.4,0.0,9.0,2.5,9.9,9.7,6.2,10.0,10.0,10.0,8.5,0.0,0.0,10.0,3.3,4.0,2.7,9.0,9.6,6.3,2.6,,4.6,3.7,4.1,5.7,3.0,3.8,10.0,7.4,0.4,,,,5.9,,0.0,10.0,5.0,7.5,6.3,5.55,136.0,7.0,,4.2,5.0,5.0,5.0,3.0,4.8,2.6,2.8,3.4,1.7,4.1,1.9,5.5,3.3,0.9,3.0,7.7,6.8,8.5,0.0,5.7,0.0,8.9,7.2,5.3,,,,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.2,10.0,5.1,,,,,,0.0,,,3.3,,3.1,,,,4.3,3.93,152.0,10.0
1142,2009,MMR,Myanmar,South Asia,4.83,141.0,4.0,,,,3.4,9.3,0.0,8.7,2.5,9.7,9.9,6.2,10.0,10.0,10.0,8.5,0.0,0.0,10.0,3.3,3.6,2.2,9.8,10.0,6.4,0.7,,4.0,3.8,3.9,5.7,1.8,3.0,10.0,8.2,6.9,,,,8.4,,0.0,10.0,5.0,7.5,6.3,5.71,124.0,8.5,,3.5,5.0,5.0,5.0,1.8,4.7,2.4,2.8,3.3,1.7,3.8,1.9,5.5,3.3,0.9,3.0,8.3,7.0,9.7,0.0,6.3,0.0,8.9,7.2,5.3,,,,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.6,5.0,2.2,,,,10.0,,0.0,,,,,1.2,,,,4.0,3.94,141.0,10.0
1143,2008,MMR,Myanmar,South Asia,4.54,141.0,4.0,,,,3.4,9.4,0.0,9.6,2.5,9.9,9.9,6.4,10.0,10.0,10.0,8.6,0.0,0.0,10.0,3.3,3.6,2.2,9.3,10.0,6.3,0.7,,4.0,3.8,3.9,5.7,1.8,3.0,10.0,7.2,0.3,,,,5.8,,0.0,10.0,5.0,7.5,6.3,5.47,131.0,8.5,,3.8,5.0,5.0,5.0,1.8,4.8,2.4,2.8,3.3,1.7,3.8,1.9,5.5,3.3,0.9,3.0,8.2,6.9,4.6,0.0,4.9,0.0,8.9,7.2,5.3,,,,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.7,5.0,2.2,,,,,,3.0,,,,,1.2,,,,3.6,3.61,141.0,10.0
1144,2018,NAM,Namibia,Sub-Saharan Africa,6.92,80.0,2.0,6.2,6.7,5.5,6.1,2.9,10.0,10.0,7.5,10.0,10.0,9.5,10.0,7.5,8.8,7.1,10.0,10.0,2.5,7.5,8.7,8.9,9.8,8.9,9.1,9.1,7.5,6.7,7.7,7.2,9.1,9.2,8.4,10.0,10.0,7.5,,,7.5,8.8,7.0,0.0,10.0,5.0,7.5,6.5,7.32,69.0,4.4,8.6,3.2,6.0,6.0,6.0,5.6,5.6,5.9,5.5,6.1,10.0,7.6,4.8,4.6,5.4,1.0,6.2,9.1,8.6,9.1,0.0,6.7,2.8,8.5,5.4,5.6,5.4,5.3,5.3,10.0,1.7,0.8,5.8,2.7,5.9,10.0,8.7,10.0,9.6,10.0,4.6,6.1,10.0,8.3,10.0,8.2,4.8,4.2,8.2,9.4,8.3,6.6,6.9,8.2,6.52,107.0,7.76
1145,2017,NAM,Namibia,Sub-Saharan Africa,6.82,89.0,3.0,6.0,6.6,5.4,5.6,3.1,10.0,10.0,7.5,10.0,10.0,9.5,10.0,7.5,8.8,7.1,10.0,10.0,2.5,7.5,9.2,8.8,9.8,8.9,9.2,9.5,7.5,7.7,7.7,7.7,9.3,9.2,8.7,10.0,10.0,7.5,,,7.5,8.8,7.0,0.0,10.0,5.0,7.5,6.5,7.23,72.0,4.0,8.7,3.5,6.0,6.0,6.0,5.8,5.6,6.1,5.6,6.3,10.0,7.7,4.8,4.6,5.5,1.0,6.3,8.5,8.5,8.8,0.0,6.5,1.4,8.5,5.7,5.2,5.7,5.3,5.5,10.0,1.7,0.8,5.8,2.7,5.8,10.0,6.4,10.0,8.8,10.0,4.5,6.3,10.0,8.3,10.0,8.2,4.8,4.0,7.8,7.9,8.3,6.6,6.6,7.9,6.4,110.0,7.76
1146,2016,NAM,Namibia,Sub-Saharan Africa,6.97,77.0,2.0,,,,5.8,3.1,10.0,10.0,7.5,10.0,10.0,9.5,10.0,5.0,7.5,6.7,10.0,10.0,10.0,10.0,8.2,8.9,9.8,8.9,8.9,10.0,7.5,8.5,7.7,8.1,9.3,9.8,8.9,10.0,10.0,6.9,,,7.5,8.6,7.0,0.0,10.0,5.0,10.0,7.3,7.5,61.0,4.3,8.64,3.0,6.0,6.0,6.0,6.0,5.6,6.1,5.7,6.3,10.0,7.7,4.8,4.48,5.51,1.0,6.3,7.7,8.2,8.7,0.0,6.1,4.5,8.5,5.6,6.2,5.9,5.27,5.58,10.0,1.7,0.8,5.8,2.7,6.1,10.0,6.4,10.0,8.8,10.0,4.5,6.3,10.0,8.27,10.0,8.2,4.9,5.8,7.8,8.0,8.3,6.6,6.9,8.0,6.43,110.0,8.5
